

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 8; fitness: 88.74317426885358; player life: 50.80000000000031; enemy life: 0; time: 565

RUN: run status: enemy: 1; fitness: 57.16226955283406; player life: 0; enemy life: 30.0; time: 343

RUN: run status: enemy: 2; fitness: 12.10835578817423; player life: 0; enemy life: 80.0; time: 362

RUN: run status: enemy: 3; fitness: 74.71960416103981; player life: 0; enemy life: 10.0; time: 534

RUN: run status: enemy: 4; fitness: 86.96209403655284; player life: 40.000000000000284; enemy life: 0; time: 1139

RUN: run status: enemy: 5; fitness: 92.82472159231585; player life: 82.00000000000017; enemy life: 0; time: 216

RUN: run status: enemy: 6; fitness: 86.23473502996467; player life: 28.000000000000256; enemy life: 0; time: 710

RUN: run status: enemy: 7; fitness: -2.772588722239781; player life: 0; enemy life: 100; time: 16

RUN: run status: enemy: 8; fitness: 89.56556065373066; player life: 56.20000000000032; enemy life: 0; time: 426

RUN: run status: enemy: 1; fitness: 12.795993312923205; player life: 0; enemy life: 80.0; time: 182

RUN: run status: enemy: 2; fitness: 88.13109579777978; player life: 32; enemy life: 0; time: 159

RUN: run status: enemy: 3; fitness: 39.95014399275046; player life: 0; enemy life: 50.0; time: 156

RUN: run status: enemy: 4; fitness: 39.10835578817423; player life: 0; enemy life: 50.0; time: 362

RUN: run status: enemy: 5; fitness: 87.55935834262664; player life: 34.00000000000027; enemy life: 0; time: 344

RUN: run status: enemy: 6; fitness: 39.28957298262513; player life: 0; enemy life: 50.0; time: 302

RUN: run status: enemy: 7; fitness: 65.74233241211736; player life: 0; enemy life: 20.0; time: 522

RUN: run status: enemy: 8; fitness: 84.40562995920267; player life: 7.600000000000232; enemy life: 0; time: 575
