run,gen,best,mean,std
5,20,-50.0,-61.653164978870564,19.08706314364316
5,21,-50.0,-51.0493410246785,0.5896787491346908
5,22,-50.0,-50.428020681118866,0.6385699127894195
5,23,-50.0,-50.0,0.0
5,24,-50.0,-50.0,0.0
5,25,-50.0,-50.0,0.0
5,26,-50.0,-50.0,0.0
5,27,-50.0,-50.0,0.0
5,28,-50.0,-50.0,0.0
5,29,-50.0,-50.0,0.0
6,0,-78.04737854124366,-96.91119850005829,7.6689057731437265
6,1,-70.33006504530928,-89.44397354453608,10.351028059612963
6,2,-70.0,-79.34928718390249,5.21164412798078
6,3,-70.0,-76.56458572475066,3.0622394413067218
6,4,-55.80552462257981,-72.98741522732823,4.135408907771625
6,5,-55.80552462257981,-69.64142013798624,2.9361261025948915
6,6,-55.80552462257981,-68.16131950184156,4.776425435992796
6,7,-55.80552462257981,-63.18665181883831,7.091557625624354
6,8,-55.80552462257981,-56.5152483914508,3.093614186337549
6,9,-55.80552462257981,-55.805524622579796,1.4210854715202004e-14
6,10,-48.164965809277255,-65.47773787880183,17.678389652825473
6,11,-48.164965809277255,-55.576307858180726,1.3033816955537143
6,12,-48.164965809277255,-54.81225197685048,2.5695461697711206
6,13,-38.047378541243646,-53.030153165243576,3.911444496513546
6,14,-38.047378541243646,-48.80517026787096,3.6694873898735256
6,15,-38.047378541243646,-46.74850359175256,3.5106715716517267
6,16,-38.047378541243646,-43.713227411342466,5.022238243245174
6,17,-38.047378541243646,-39.36266488608801,3.4025793462433453
6,18,-38.047378541243646,-38.047378541243646,7.105427357601002e-15
6,19,-38.047378541243646,-38.047378541243646,7.105427357601002e-15
6,20,-38.047378541243646,-53.15820057259939,26.22124446260507
6,21,-38.047378541243646,-38.047378541243646,7.105427357601002e-15
6,22,-38.047378541243646,-38.047378541243646,7.105427357601002e-15
6,23,-38.047378541243646,-38.047378541243646,7.105427357601002e-15
6,24,-38.047378541243646,-38.047378541243646,7.105427357601002e-15
6,25,-38.047378541243646,-38.047378541243646,7.105427357601002e-15
6,26,-38.047378541243646,-38.047378541243646,7.105427357601002e-15
6,27,-38.047378541243646,-38.047378541243646,7.105427357601002e-15
6,28,-38.047378541243646,-38.047378541243646,7.105427357601002e-15
6,29,-38.047378541243646,-38.047378541243646,7.105427357601002e-15
7,0,-78.04737854124366,-98.64111807206021,5.466957791413899
7,1,-71.38071187457699,-95.49340292547035,7.674129553057092
7,2,-60.0,-88.6666343109516,10.161467185379415
7,3,-60.0,-78.94923402080845,6.996004387859429
7,4,-60.0,-73.3949768375033,4.881935003827152
7,5,-60.0,-68.7550601205203,5.385492717421227
7,6,-60.0,-63.07279220613578,5.0525746710353845
7,7,-60.0,-60.0,0.0
7,8,-60.0,-60.0,0.0
7,9,-60.0,-60.0,0.0
7,10,-60.0,-68.33333333333334,15.531330342962324
7,11,-60.0,-60.4,3.9799497484264816
7,12,-60.0,-60.0,0.0
7,13,-60.0,-60.0,0.0
7,14,-60.0,-60.0,0.0
7,15,-60.0,-60.0,0.0
