run,gen,best,mean,std
1,0,-70.0,-98.079834639493,6.860365313739813
1,1,-68.16496580927726,-90.9904885594224,10.609530304561742
1,2,-68.16496580927726,-78.9437373692691,7.170598889424645
1,3,-68.16496580927726,-72.60211220943526,4.589153386042167
1,4,-68.16496580927726,-68.44729335566922,1.110696636669872
1,5,-58.047378541243646,-68.06378993659696,1.0066872225523331
1,6,-48.047378541243646,-67.45791057319526,2.9437263246287477
1,7,-48.047378541243646,-64.42968962886718,6.158084577950424
1,8,-48.047378541243646,-56.159137268047,5.9725289540381725
1,9,-48.047378541243646,-50.14737854124363,4.07308237088326
1,10,-48.047378541243646,-59.562200572599394,20.60227067629113
1,11,-48.047378541243646,-48.04737854124363,2.131628207280301e-14
1,12,-48.047378541243646,-48.04737854124363,2.131628207280301e-14
1,13,-48.047378541243646,-48.04737854124363,2.131628207280301e-14
1,14,-48.047378541243646,-48.04737854124363,2.131628207280301e-14
1,15,-48.047378541243646,-48.04737854124363,2.131628207280301e-14
1,16,-48.047378541243646,-48.04737854124363,2.131628207280301e-14
1,17,-48.047378541243646,-48.04737854124363,2.131628207280301e-14
1,18,-48.047378541243646,-48.04737854124363,2.131628207280301e-14
1,19,-48.047378541243646,-48.04737854124363,2.131628207280301e-14
1,20,-40.0,-59.72639345385364,20.735122696003998
1,21,-40.0,-47.40358825794414,2.183199070633428
1,22,-40.0,-45.15032226639593,3.862741699796953
1,23,-40.0,-40.80473785412436,2.4142135623730963
1,24,-40.0,-40.0,0.0
1,25,-40.0,-40.0,0.0
1,26,-40.0,-40.0,0.0
1,27,-40.0,-40.0,0.0
1,28,-40.0,-40.0,0.0
1,29,-40.0,-40.0,0.0
2,0,-78.04737854124366,-96.93949512811716,7.146197240392112
2,1,-68.16496580927726,-88.9911282264059,9.396429900865881
2,2,-60.0,-79.0857798075324,5.276723365706321
2,3,-58.047378541243646,-73.52051409644702,6.048329900785063
2,4,-58.047378541243646,-66.6232607359798,5.551358965258727
2,5,-58.047378541243646,-60.83776537938284,3.2984649718408687
2,6,-58.047378541243646,-58.53553390593274,0.8455098936288127
2,7,-58.047378541243646,-58.0669047558312,0.19428338208873674
2,8,-50.0,-57.966904755831216,0.8007040550178832
2,9,-50.0,-57.40358825794416,2.183199070633429
2,10,-38.98926074121575,-64.0506511426554,18.325195795326323
2,11,-38.98926074121575,-50.165300069658926,4.253284071062539
2,12,-38.98926074121575,-46.03613386683767,5.285154844216443
2,13,-38.98926074121575,-40.53076423744553,3.8205837295630514
2,14,-38.98926074121575,-38.989260741215745,7.105427357601002e-15
2,15,-38.98926074121575,-38.989260741215745,7.105427357601002e-15
2,16,-38.98926074121575,-38.989260741215745,7.105427357601002e-15
2,17,-38.98926074121575,-38.989260741215745,7.105427357601002e-15
2,18,-38.98926074121575,-38.989260741215745,7.105427357601002e-15
2,19,-31.380711874576985,-38.91317525254935,0.7570410536917378
2,20,-31.380711874576985,-51.50401380191378,23.678965801536233
2,21,-31.380711874576985,-37.163209013222435,3.249482865340247
2,22,-31.380711874576985,-32.82633615923836,2.9848406055002346
2,23,-31.380711874576985,-31.380711874577,1.0658141036401504e-14
2,24,-31.380711874576985,-31.380711874577,1.0658141036401504e-14
2,25,-31.380711874576985,-31.380711874577,1.0658141036401504e-14
2,26,-31.380711874576985,-31.380711874577,1.0658141036401504e-14
2,27,-31.380711874576985,-31.380711874577,1.0658141036401504e-14
2,28,-31.380711874576985,-31.380711874577,1.0658141036401504e-14
2,29,-28.04737854124365,-31.347378541243657,0.3316624790355402
3,0,-78.04737854124366,-98.13992566723032,5.5874400731423535
3,1,-78.04737854124366,-90.59910913327464,9.619705913258711
3,2,-71.38071187457699,-79.17872700688477,4.142548794214061
3,3,-70.0,-77.50023808916454,1.8599331844640183
3,4,-70.0,-75.25881673292723,3.3554104877177497
3,5,-60.0,-71.47123616632825,2.1818184834557184
3,6,-58.164965809277255,-69.56824898297432,2.957710885265913
3,7,-58.164965809277255,-66.55319726474218,4.932037474296532
3,8,-58.164965809277255,-60.52103734943259,3.6020049636988567
3,9,-50.0,-58.23011888644233,0.9653029481423482
3,10,-50.0,-67.57877538267964,17.2944432450544
3,11,-50.0,-56.69527196360736,3.1368774282716254
3,12,-50.0,-53.02103734943259,3.9420806688854064
3,13,-50.0,-50.0,0.0
3,14,-50.0,-50.0,0.0
3,15,-48.164965809277255,-49.981649658092785,0.1825835966430237
