run,gen,best,mean,std
1,0,-80.33006504530928,-99.31769312937108,4.399777948459705
1,1,-65.52284749830793,-96.56137287852115,7.2485095575923415
1,2,-65.52284749830793,-89.43807280978832,10.166883103303233
1,3,-65.52284749830793,-78.4750525760489,5.832914099723616
1,4,-65.52284749830793,-73.22260062274863,7.397683515429849
1,5,-56.329931618554525,-66.31935139233046,3.6559403796537273
1,6,-41.38071187457698,-64.82178034808292,3.0923158141161333
1,7,-41.38071187457698,-62.971169455313635,6.212943440756946
1,8,-41.38071187457698,-57.29304149805298,8.95027516732383
1,9,-41.38071187457698,-47.6361872485606,7.812912547354056
1,10,-41.38071187457698,-50.933236166328264,20.098786454250114
1,11,-38.16496580927726,-41.66808062851156,3.1985199089098644
1,12,-38.16496580927726,-41.284239492618,0.5485651850180406
1,13,-38.16496580927726,-40.83403504347604,1.2079396967319298
1,14,-38.16496580927726,-39.70852392062114,1.6065862192923415
1,15,-36.0947570824873,-38.27289356462135,0.6669708776331877
1,16,-36.0947570824873,-38.061455372937765,0.45119153160567294
1,17,-36.0947570824873,-37.77162615118717,0.8121447568902113
1,18,-36.0947570824873,-36.902138485935396,1.0097441738541282
1,19,-36.0947570824873,-36.156863344291004,0.3531511537841694
1,20,-36.0947570824873,-48.53580566598984,24.95581436337819
1,21,-36.0947570824873,-36.094757082487305,7.105427357601002e-15
1,22,-36.0947570824873,-36.094757082487305,7.105427357601002e-15
1,23,-36.0947570824873,-36.094757082487305,7.105427357601002e-15
1,24,-36.0947570824873,-36.094757082487305,7.105427357601002e-15
1,25,-36.0947570824873,-36.094757082487305,7.105427357601002e-15
1,26,-36.0947570824873,-36.094757082487305,7.105427357601002e-15
1,27,-36.0947570824873,-36.094757082487305,7.105427357601002e-15
1,28,-36.0947570824873,-36.094757082487305,7.105427357601002e-15
1,29,-36.0947570824873,-36.094757082487305,7.105427357601002e-15
2,0,-68.04737854124366,-98.20092970356994,6.155330611419809
2,1,-68.04737854124366,-91.98638881999068,9.661469780246579
2,2,-68.04737854124366,-84.59902406607065,10.295032181339987
2,3,-49.13885795591314,-73.09213997926193,7.191803939772853
2,4,-43.66339837864261,-67.4538506298079,5.040536662808668
2,5,-43.66339837864261,-64.31531726124794,8.040540156212648
2,6,-31.380711874576985,-57.210935680765516,11.106615090001451
2,7,-31.380711874576985,-46.39057462320965,6.605707156221607
2,8,-31.380711874576985,-41.16690805734376,5.50138025542194
2,9,-31.380711874576985,-35.433998420918655,5.77547540321203
2,10,-31.380711874576985,-44.637902832994925,26.656898285614755
2,11,-31.380711874576985,-32.06690475583123,6.8275329627995385
2,12,-31.380711874576985,-31.380711874576996,1.0658141036401503e-14
2,13,-31.380711874576985,-31.380711874576996,1.0658141036401503e-14
2,14,-31.380711874576985,-31.380711874576996,1.0658141036401503e-14
2,15,-31.380711874576985,-31.380711874576996,1.0658141036401503e-14
2,16,-31.380711874576985,-31.380711874576996,1.0658141036401503e-14
2,17,-31.380711874576985,-31.380711874576996,1.0658141036401503e-14
2,18,-31.380711874576985,-31.380711874576996,1.0658141036401503e-14
2,19,-31.380711874576985,-31.380711874576996,1.0658141036401503e-14
2,20,-31.380711874576985,-42.63790283299493,23.93109678007145
2,21,-31.380711874576985,-31.380711874576996,1.0658141036401503e-14
2,22,-31.380711874576985,-31.380711874576996,1.0658141036401503e-14
2,23,-31.380711874576985,-31.380711874576996,1.0658141036401503e-14
2,24,-31.380711874576985,-31.380711874576996,1.0658141036401503e-14
2,25,-31.380711874576985,-31.380711874576996,1.0658141036401503e-14
2,26,-31.380711874576985,-31.380711874576996,1.0658141036401503e-14
2,27,-20.0,-31.266904755831224,1.132366534053423
2,28,-20.0,-30.811676280848143,2.480368648341721
2,29,-20.0,-29.44599085589891,4.2749686608381845
3,0,-73.88138000989659,-98.52228042797064,5.744021563355173
3,1,-64.14213562373095,-91.8857460632791,9.640875863718101
3,2,-64.14213562373095,-82.10387676607778,8.452377033511635
3,3,-64.14213562373095,-75.01991762347112,5.102694377402012
3,4,-58.16496580927726,-70.44737040979031,4.94529840608438
3,5,-58.16496580927726,-65.42370718722218,3.6955788828536673
3,6,-58.04737854124365,-63.18461258073801,2.1939904534216437
3,7,-53.66339837864261,-60.98781577322834,3.0631757634185357
3,8,-53.66339837864261,-58.27670636669255,1.6078669026407575
3,9,-43.88138000989659,-57.37662416615025,2.0633706580932163
3,10,-43.66339837864261,-62.523356231293185,16.16761733806398
3,11,-43.66339837864261,-53.08913683571027,2.9157887928667767
3,12,-43.66339837864261,-51.18083690914292,4.300223159264453
3,13,-43.66339837864261,-46.606994704893395,4.510514811681218
3,14,-43.66339837864261,-43.776477276517845,0.9950196592777301
3,15,-43.66339837864261,-43.663398378642604,7.105427357601002e-15
3,16,-43.66339837864261,-43.663398378642604,7.105427357601002e-15
3,17,-43.66339837864261,-43.663398378642604,7.105427357601002e-15
3,18,-35.8055246225798,-43.58481964108198,0.7818485669652303
3,19,-35.8055246225798,-43.427662165960726,1.3404528477410238
3,20,-35.8055246225798,-52.38537097283798,21.329907323084328
3,21,-35.8055246225798,-39.813040238171844,3.928151012061341
3,22,-35.8055246225798,-36.27699704794358,1.8661416211249462
3,23,-35.8055246225798,-35.80552462257981,7.105427357601002e-15
3,24,-35.8055246225798,-35.80552462257981,7.105427357601002e-15
3,25,-35.8055246225798,-35.80552462257981,7.105427357601002e-15
3,26,-35.8055246225798,-35.80552462257981,7.105427357601002e-15
3,27,-35.8055246225798,-35.80552462257981,7.105427357601002e-15
3,28,-35.8055246225798,-35.80552462257981,7.105427357601002e-15
3,29,-35.8055246225798,-35.80552462257981,7.105427357601002e-15
4,0,-80.33006504530928,-98.57035738282981,5.125927987218115
4,1,-69.13885795591314,-94.89759488562632,8.268353282423103
4,2,-69.13885795591314,-86.9630013144264,8.833025809835542
4,3,-69.13885795591314,-79.54979467158708,4.414185621138233
4,4,-65.52284749830793,-75.95478225485643,5.538429540886341
4,5,-65.52284749830793,-69.59680151098641,3.1199525117003497
4,6,-61.38071187457698,-67.83183293951402,1.8273627627632807
4,7,-61.38071187457698,-65.85814228576216,1.6452268920126507
4,8,-58.16496580927726,-64.49657748795948,1.8531946001957778
4,9,-58.16496580927726,-62.63751457896484,2.2463212062205526
4,10,-56.666666666666664,-66.27082726804433,13.918405245073433
4,11,-55.80552462257981,-58.726940390126494,1.3090008822838446
4,12,-55.80552462257981,-57.84997501194739,0.7176058943571678
4,13,-55.80552462257981,-57.11924419883449,0.9802578575703618
4,14,-55.80552462257981,-56.22902811887469,0.6578767852707221
4,15,-55.80552462257981,-55.81413604302066,0.08568255154307347
4,16,-53.66339837864261,-55.78410336014043,0.21313887014139035
4,17,-53.66339837864261,-55.63415452306483,0.5811442820757909
4,18,-48.04737854124365,-55.17099033834276,1.1799651723725066
4,19,-46.329931618554525,-54.20606623723239,1.56021221826899
4,20,-46.329931618554525,-60.15742911031689,16.64801104131687
4,21,-46.329931618554525,-50.648385284341046,3.3121168911714705
4,22,-46.0947570824873,-47.296732327685824,2.106408766638532
4,23,-46.0947570824873,-46.35957706628697,0.2433511194182576
4,24,-46.0947570824873,-46.31582114639049,0.05585085782845376
4,25,-45.80552462257981,-46.284707877463354,0.10053377952929338
4,26,-45.80552462257981,-46.175635860802686,0.15197545580424446
4,27,-40.0,-45.9756118688496,0.6176547050929145
4,28,-40.0,-45.55553218159357,1.4100331873563732
4,29,-38.16496580927726,-44.62606935615661,2.365681451832482
5,0,-68.16496580927726,-96.89037361820387,7.2142254348906505
5,1,-68.16496580927726,-90.33661645327,8.802497064637333
5,2,-65.80552462257981,-81.20157420215867,5.667640069595309
5,3,-64.14213562373095,-76.0127273311708,4.680149825269597
5,4,-53.66339837864261,-70.66821005344937,4.767853145322156
5,5,-53.66339837864261,-66.46680941592963,3.3349097465205917
5,6,-53.66339837864261,-63.71469986131614,3.2492122537186385
5,7,-48.16496580927726,-59.79086902755106,5.247928378170642
5,8,-45.80552462257981,-54.77692122692607,4.032581988903632
5,9,-45.80552462257981,-52.335771154047364,2.5424956781084878
5,10,-45.80552462257981,-57.38416010572427,19.579195210843995
5,11,-45.80552462257981,-46.607734626056924,1.1176879854887378
5,12,-45.80552462257981,-45.805524622579796,1.4210854715202004e-14
